instance_id,algorithm,seed,total_cost,runtime_seconds,converged_iteration
instance_n20,Standard PSO,8,74409.6298828125,0.18407702445983887,56
instance_n20,Standard PSO,9,73533.2431640625,0.16219568252563477,67
instance_n20,Standard PSO,10,72014.6875,0.36312127113342285,90
instance_n20,QPSO,1,72813.9443359375,0.7500240802764893,98
instance_n20,QPSO,2,73403.9423828125,0.7262663841247559,99
instance_n20,QPSO,3,72195.08203125,0.8296682834625244,97
instance_n20,QPSO,4,77216.140625,0.7836582660675049,44
instance_n20,QPSO,5,69367.8291015625,0.834601640701294,90
instance_n20,QPSO,6,66391.6044921875,0.7922885417938232,97
instance_n20,QPSO,7,70191.5732421875,0.7850875854492188,90
instance_n20,QPSO,8,78221.693359375,0.8709967136383057,87
instance_n20,QPSO,9,66718.4189453125,0.7417654991149902,99
instance_n20,QPSO,10,69474.6240234375,0.813751220703125,98
instance_n20,Genetic Algorithm,1,69370.798828125,0.7628791332244873,99
instance_n20,Genetic Algorithm,2,70097.8564453125,0.7234053611755371,99
instance_n20,Genetic Algorithm,3,67783.6435546875,0.6915183067321777,99
instance_n20,Genetic Algorithm,4,70455.736328125,0.7584042549133301,99
instance_n20,Genetic Algorithm,5,67404.5537109375,0.734642744064331,99
instance_n20,Genetic Algorithm,6,68773.86767578125,0.7964267730712891,99
instance_n20,Genetic Algorithm,7,70552.01953125,0.7486612796783447,99
instance_n20,Genetic Algorithm,8,69416.103515625,0.7245173454284668,99
instance_n20,Genetic Algorithm,9,67959.970703125,0.713655948638916,99
instance_n20,Genetic Algorithm,10,73020.5712890625,0.7362897396087646,99
instance_n20,Ant Colony (MMAS),1,58381.8544921875,6.518972635269165,66
instance_n20,Ant Colony (MMAS),2,58381.8544921875,5.178860902786255,88
instance_n20,Ant Colony (MMAS),3,58389.8271484375,5.144749879837036,40
instance_n20,Ant Colony (MMAS),4,58598.6767578125,4.920067310333252,87
instance_n20,Ant Colony (MMAS),5,58389.8271484375,2.309338331222534,50
instance_n20,Ant Colony (MMAS),6,58381.8544921875,5.030235767364502,64
instance_n20,Ant Colony (MMAS),7,58381.8544921875,5.127336025238037,49
instance_n20,Ant Colony (MMAS),8,58490.4619140625,5.317056655883789,96
instance_n20,Ant Colony (MMAS),9,61295.5947265625,5.237803220748901,97
instance_n20,Ant Colony (MMAS),10,58401.4755859375,4.39155125617981,99
instance_n50,Nearest Neighbor,1,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,2,3184609.0224609375,0.001087188720703125,0
